id,year,appendix,taxon,class,ord,family,genus,term,quantity,unit,importer,exporter,origin,purpose,source,reporter_type,import_permit_randomid,export_permit_randomid,origin_permit_randomid
7371527,1998,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,live,2,,ES,TG,,T,W,I,,3864ee44c5,
7371528,1999,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,specimens,6,,AT,BJ,,M,W,I,3db6b9bb24,d4187c4322,
7371529,1999,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,trophies,1,,US,LR,,,W,I,,,
7371530,1999,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,trophies,1,,US,CM,,P,W,I,,2f95d6a099,
7371531,1999,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,trophies,1,,US,FR,CM,,W,I,,2fe9d4f430,
7371532,1999,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,skins,1,,US,CM,,P,I,I,,,
7371533,1999,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,live,5,,JP,CM,,T,W,E,,91de490ba5,
7371534,1999,II,Manis tricuspis,Mammalia,Pholidota,Manidae,Manis,specimens,1,,AT,BJ,,S,W,E,,8fce58406e,
7371479,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,666,,US,LA,,T,U,I,,57ab53a5bf,
7371480,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,2,,CH,US,LA,P,W,E,,9629c4ec99,
7371481,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,40,,US,MX,LA,T,W,I,,e26958dee9,
7371482,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,2,,JP,US,LA,T,W,E,,f686fdd5d4,
7371483,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,158,,US,MX,LA,T,W,I,,880041a503,
7371484,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,150,,US,MX,LA,T,W,I,,f7020114bf,
7371485,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,72,,US,MX,LA,T,W,I,,3b5d04380b,
7371486,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),36,,US,MX,LA,T,W,I,,9672660c27,
7371487,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),40,,US,MX,LA,T,W,I,,61d17df80c,
7371488,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,616,,US,MX,LA,T,W,I,,f467d18a60,
7371489,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,302,,US,LA,,T,W,I,,48f56968b9,
7371490,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,96,,US,MX,LA,T,W,I,,55c294a063,
7371491,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),200,,US,MX,LA,T,W,I,,bd6252832a,
7371492,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,leather products (small),262,,US,MX,LA,T,W,I,,8f4392f976,
7371493,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,272,,US,MX,LA,T,W,I,,cc6985608a,
7371494,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,shoes,28,,US,MX,LA,T,W,I,,b5f9357967,
7371495,1999,II,Manis javanica,Mammalia,Pholidota,Manidae,Manis,skins,434,,US,LA,,T,W,I,,b6257df54e,
