App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
II,Manis javanica,meat,,TH,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,scales,g,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2045,,,,,,,,,,,,,,
II,Manis javanica,scales,g,LA,,,,,,,,,,,,,,,,,,,,,,,,,,29,656,,,,,,,,,,,,,,,,,
II,Manis javanica,scales,kg,HK,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,scales,kg,MY,,,,,,,,,,,,,,,,,,,,2000,,9430,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,scales,kg,SG,,,,,,,,,,,,,,,,,,,,2000,,5600,,1027.5,,350,,,,,,,,,1000,1000,,800,,,,,,
II,Manis javanica,shoes,kg,MX,,,,,,,,45.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,CA,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,ES,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,GR,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,IT,,,,,,,,2,539,236,545,181,74,92,139,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,JP,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,MX,,,,,,,1,435,236,516,393,222,135,27,58,48,124,700,187,44,209,,259,601,1598,1687,2,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,PH,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,SG,,,,,,,,,107,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,TH,,,,,,,,,4,2,91,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,US,,,,,,,2,3,3,6,36,5,19,4,19,4,17,6,26.5,5.5,6,4,59,5,4,10,,,,,,,,,,,,,,,,,,
