App.,Taxon,Term,Unit,Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
II,Manis javanica,leather products (small),pairs,GB,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),pairs,IT,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),pairs,US,,,,,,,,,,,,,,,,,,,,,,,,,,1539,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,FR,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,GB,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,JP,,,,,,,,,,,,,,2,,,,,,12,,10,,,,299,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,NG,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,SA,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
II,Manis javanica,leather products (small),,US,,,,,,12,,,14,393,,18,73,,,,20,13,,,,,,,849,1713,1,,,,,,,,,,,,,,,,,
II,Manis javanica,leather products (small),,XX,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,live,,CN,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,
II,Manis javanica,live,,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,
II,Manis javanica,live,,JP,,,,,,,,,,,,,,45,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,live,,PL,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,live,,US,,,,1,1,450,,,,236,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,meat,,US,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,scales,g,US,,,,,,,,,,,,,,,,,,,,,,,,,,29,656,,,2045,,,,,,,,,,,,,,
II,Manis javanica,scales,kg,CN,,,,,,,,,,,,,,,,,,,,2000,,5600,,,,,,,,,,,,,1000,1000,,800,,,,,,
II,Manis javanica,scales,kg,HK,,,,,,,,,,,,,,,,,,,,,,,,1027.5,,350,,,,,,,,,,,,,,,,,,
II,Manis javanica,scales,kg,SG,,,,,,,,,,,,,,,,,,,,,,3830,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,kg,US,,,,,,,,45.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,AE,,,,,,,,,,12,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,AU,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,BE,,,,,,,,,23,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,CA,,,,,,,2,3,,,,2,,,3,,11,,16.5,4.5,,3,,1,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,CH,,,,,,,,,81,1,,14,26,,,,,6,10,,,,,,2,8,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,CM,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II,Manis javanica,shoes,,DE,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
