,cause,court info,date,url
59,背信等,臺灣臺北地方法院 88 年度 自更(一) 字第 23 號刑事裁定（26K）,92.11.28,https://law.judicial.gov.tw/FJUD/data.aspx?ro=59&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
60,偽造有價證券等,臺灣高等法院 臺中分院 92 年度 重上更(二) 字第 49 號刑事判決（156K）,92.11.06,https://law.judicial.gov.tw/FJUD/data.aspx?ro=60&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
61,虛報進口貨物,最高行政法院 92 年度 判 字第 1500 號行政判決（9K）,92.10.31,https://law.judicial.gov.tw/FJUD/data.aspx?ro=61&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
62,違反野生動物保育法等,臺灣高雄地方法院 90 年度 訴 字第 2558 號刑事判決（14K）,92.10.27,https://law.judicial.gov.tw/FJUD/data.aspx?ro=62&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
63,殺人未遂,臺灣高等法院 臺中分院 92 年度 重上更(四) 字第 62 號刑事判決（32K）,92.08.06,https://law.judicial.gov.tw/FJUD/data.aspx?ro=63&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
64,殺人未遂,臺灣高等法院 臺中分院 91 年度 重上更(六) 字第 248 號刑事判決（46K）,92.05.07,https://law.judicial.gov.tw/FJUD/data.aspx?ro=64&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
65,殺人未遂,最高法院 92 年度 台上 字第 715 號刑事判決（8K）,92.02.20,https://law.judicial.gov.tw/FJUD/data.aspx?ro=65&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
66,偽造有價證券,最高法院 92 年度 台上 字第 145 號刑事判決（13K）,92.01.09,https://law.judicial.gov.tw/FJUD/data.aspx?ro=66&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
67,殺人未遂,臺灣高等法院 臺中分院 91 年度 重上更(三) 字第 190 號刑事判決（33K）,91.12.17,https://law.judicial.gov.tw/FJUD/data.aspx?ro=67&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
68,違反野生動物保育法,臺灣基隆地方法院 91 年度 訴 字第 463 號刑事判決（7K）,91.10.17,https://law.judicial.gov.tw/FJUD/data.aspx?ro=68&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
69,虛報進口貨物,高雄高等行政法院 91 年度 訴 字第 577 號行政裁定（4K）,91.09.26,https://law.judicial.gov.tw/FJUD/data.aspx?ro=69&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
70,虛報進口貨物,高雄高等行政法院 91 年度 訴 字第 38 號行政判決（18K）,91.08.27,https://law.judicial.gov.tw/FJUD/data.aspx?ro=70&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
71,殺人未遂,最高法院 91 年度 台上 字第 4539 號刑事判決（6K）,91.08.15,https://law.judicial.gov.tw/FJUD/data.aspx?ro=71&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
72,殺人未遂,臺灣高等法院 臺中分院 91 年度 重上更(五) 字第 86 號刑事判決（33K）,91.08.13,https://law.judicial.gov.tw/FJUD/data.aspx?ro=72&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
73,違反野生動物保育法等,臺灣苗栗地方法院 90 年度 苗簡 字第 596 號刑事判決（5K）,91.07.29,https://law.judicial.gov.tw/FJUD/data.aspx?ro=73&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
74,偽造有價證券等,臺灣高等法院 臺中分院 89 年度 上更(一) 字第 47 號刑事判決（446K）,91.05.30,https://law.judicial.gov.tw/FJUD/data.aspx?ro=74&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
75,殺人未遂等,臺灣高等法院 臺中分院 90 年度 上更(二) 字第 450 號刑事判決（30K）,91.05.29,https://law.judicial.gov.tw/FJUD/data.aspx?ro=75&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
76,違反野生動物保育法,臺灣臺東地方法院 91 年度 東簡 字第 22 號刑事判決（2K）,91.03.11,https://law.judicial.gov.tw/FJUD/data.aspx?ro=76&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
77,違反毒品危害防制條例,最高法院 91 年度 台上 字第 1153 號刑事判決（4K）,91.03.07,https://law.judicial.gov.tw/FJUD/data.aspx?ro=77&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
78,毒品危害防制條例,臺灣高等法院 臺南分院 90 年度 上訴 字第 595 號刑事判決（16K）,91.03.05,https://law.judicial.gov.tw/FJUD/data.aspx?ro=78&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
79,殺人未遂,最高法院 90 年度 台上 字第 7269 號刑事判決（9K）,90.11.29,https://law.judicial.gov.tw/FJUD/data.aspx?ro=79&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
80,毒品危害防制條例,臺灣高等法院 臺南分院 90 年度 上訴 字第 1343 號刑事判決（8K）,90.11.27,https://law.judicial.gov.tw/FJUD/data.aspx?ro=80&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
81,竊盜等,臺灣雲林地方法院 90 年度 易 字第 418 號刑事判決（7K）,90.09.28,https://law.judicial.gov.tw/FJUD/data.aspx?ro=81&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
82,違反野生動物保育法,臺灣高雄地方法院 90 年度 訴 字第 1546 號刑事判決（7K）,90.08.31,https://law.judicial.gov.tw/FJUD/data.aspx?ro=82&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
83,違反毒品危害防制條例,臺灣雲林地方法院 90 年度 訴 字第 124 號刑事判決（9K）,90.08.29,https://law.judicial.gov.tw/FJUD/data.aspx?ro=83&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
84,違反野生動物保育法等,臺灣宜蘭地方法院 90 年度 訴 字第 192 號刑事判決（11K）,90.08.16,https://law.judicial.gov.tw/FJUD/data.aspx?ro=84&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
85,殺人未遂,臺灣高等法院 臺中分院 90 年度 重上更(四) 字第 19 號刑事判決（30K）,90.08.07,https://law.judicial.gov.tw/FJUD/data.aspx?ro=85&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
86,殺人未遂等,臺灣高等法院 臺中分院 90 年度 上更(一) 字第 61 號刑事判決（29K）,90.08.07,https://law.judicial.gov.tw/FJUD/data.aspx?ro=86&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
87,毒品危害防制條例,臺灣臺中地方法院 90 年度 訴 字第 471 號刑事判決（4K）,90.04.30,https://law.judicial.gov.tw/FJUD/data.aspx?ro=87&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
88,違反野生動物保育法,臺灣高雄地方法院 90 年度 訴 字第 646 號刑事判決（3K）,90.04.24,https://law.judicial.gov.tw/FJUD/data.aspx?ro=88&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
89,違反毒品危害防制條例,臺灣雲林地方法院 89 年度 訴 字第 448 號刑事判決（6K）,90.03.15,https://law.judicial.gov.tw/FJUD/data.aspx?ro=89&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
90,違反野生動物保育法,臺灣高雄地方法院 90 年度 訴緝 字第 6 號刑事判決（5K）,90.02.21,https://law.judicial.gov.tw/FJUD/data.aspx?ro=90&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
91,偽造文書,臺灣臺中地方法院 89 年度 易 字第 4201 號刑事判決（3K）,90.01.04,https://law.judicial.gov.tw/FJUD/data.aspx?ro=91&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
92,違反野生動物保育法,臺灣宜蘭地方法院 89 年度 訴 字第 245 號刑事判決（3K）,89.10.31,https://law.judicial.gov.tw/FJUD/data.aspx?ro=92&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
93,違反野生動物保育法,臺灣高雄地方法院 89 年度 訴 字第 1554 號刑事判決（6K）,89.10.27,https://law.judicial.gov.tw/FJUD/data.aspx?ro=93&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
94,違反野生動物保育法,臺灣高雄地方法院 87 年度 訴 字第 2134 號刑事判決（13K）,89.06.27,https://law.judicial.gov.tw/FJUD/data.aspx?ro=94&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
95,違反野生動物保育法,臺灣臺東地方法院 89 年度 訴 字第 116 號刑事判決（4K）,89.06.16,https://law.judicial.gov.tw/FJUD/data.aspx?ro=95&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
96,違反野生動物保育法,臺灣基隆地方法院 89 年度 訴 字第 276 號刑事判決（5K）,89.06.08,https://law.judicial.gov.tw/FJUD/data.aspx?ro=96&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
97,貪污,臺灣彰化地方法院 88 年度 訴 字第 622 號刑事判決（24K）,89.06.08,https://law.judicial.gov.tw/FJUD/data.aspx?ro=97&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
98,殺人未遂等罪,最高法院 89 年度 台上 字第 2723 號刑事判決（7K）,89.05.18,https://law.judicial.gov.tw/FJUD/data.aspx?ro=98&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
99,殺人未遂,臺灣臺中地方法院 88 年度 訴 字第 2047 號刑事判決（23K）,89.03.29,https://law.judicial.gov.tw/FJUD/data.aspx?ro=99&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
100,違反商標法,臺灣屏東地方法院 88 年度 易 字第 1537 號刑事判決（3K）,89.02.15,https://law.judicial.gov.tw/FJUD/data.aspx?ro=100&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
101,公共危險,最高法院 89 年度 台上 字第 502 號刑事判決（13K）,89.01.27,https://law.judicial.gov.tw/FJUD/data.aspx?ro=101&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
102,殺人未遂案件,最高法院 88 年度 台上 字第 3802 號刑事判決（6K）,88.07.15,https://law.judicial.gov.tw/FJUD/data.aspx?ro=102&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
103,殺人未遂,最高法院 87 年度 台上 字第 3584 號刑事判決（6K）,87.10.22,https://law.judicial.gov.tw/FJUD/data.aspx?ro=103&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
104,偽造文書,最高法院 86 年度 台上 字第 3613 號刑事判決（4K）,86.06.19,https://law.judicial.gov.tw/FJUD/data.aspx?ro=104&q=004c74674147c56a73d31b3cdc4cb9a3&sort=DS&ot=in
