,year,court,lat,lng,confidence
223,2015,富阳市人民法院,30.06586169,119.950352,80
224,2017,义乌市人民法院,29.29979125,120.0708077,75
225,2019,龙山县人民法院,29.45868019,109.4555161,80
226,2018,红河哈尼族彝族自治州中级人民法院,23.37763845,103.3802089,80
227,2014,洪江市人民法院,27.216325,109.8376556,80
228,2018,桐庐县人民法院,29.7979922,119.6954581,75
229,2016,昆明市盘龙区人民法院,25.07373012,102.7258984,90
230,2017,资中县人民法院,29.60962202,105.11897,80
231,2018,文山壮族苗族自治州中级人民法院,23.40154407,104.2297271,70
232,2017,义乌市人民法院,29.29979125,120.0708077,75
233,2014,从化市人民法院,23.56407658,113.6138776,80
234,2017,腾冲市人民法院,25.02661686,98.49759504,12
235,2017,昆明市盘龙区人民法院,25.07373012,102.7258984,90
236,2018,保山市中级人民法院,25.13726591,99.17773578,80
237,2015,广州市中级人民法院,23.13403896,113.2787667,80
238,2013,深圳市福田区人民法院,22.52671293,114.060951,80
239,2016,大埔县人民法院,24.35520216,116.6986298,80
240,2015,保山市中级人民法院,25.13726591,99.17773578,80
241,2015,保山市中级人民法院,25.13726591,99.17773578,80
242,2018,瑞丽市人民法院,24.00396905,97.85608964,80
243,2014,东兴市人民法院,21.56114478,107.9960808,80
244,2018,勐海县人民法院,21.95735901,100.4454754,80
245,2017,瑞丽市人民法院,24.00396905,97.85608964,80
246,2018,金华市中级人民法院,29.08697501,119.650771,75
247,2014,衡阳市雁峰区人民法院,26.89868539,112.595799,80
248,2018,南宁市兴宁区人民法院,22.85822613,108.3730277,75
249,2016,南宁市青秀区人民法院,22.82280937,108.3989318,80
250,2018,中山市中级人民法院,22.52048554,113.3968375,80
251,2016,东阳市人民法院,29.29381509,120.2523938,80
252,2018,河口瑶族自治县人民法院,22.52340287,103.9656656,80
253,2017,深圳市罗湖区人民法院,22.56167959,114.1524785,75
254,2019,磐安县人民法院,29.05335031,120.458538,80
255,2018,芒市人民法院,24.44503386,98.59295169,80
256,2018,石狮市人民法院,24.72779179,118.6571401,75
257,2017,湘潭市中级人民法院,27.83506815,112.960692,75
258,2016,天台县人民法院,29.1590224,120.9962254,70
259,2018,大田县人民法院,25.69865021,117.8520019,80
260,2015,台州市中级人民法院,28.65845877,121.4305868,75
261,2019,石门县人民法院,29.58634639,111.3705233,80
262,2014,西双版纳傣族自治州中级人民法院,22.00482924,100.785358,80
263,2014,南昌市青云谱区人民法院,28.63655148,115.9155079,80
264,2014,深圳市中级人民法院,22.56483702,114.073204,80
265,2014,瑞金市人民法院,25.88204983,116.0379908,80
266,2016,普洱市思茅区人民法院,22.76636067,100.9742645,80
267,2015,广州市中级人民法院,23.13403896,113.2787667,80
268,2019,亳州市中级人民法院,33.86209518,115.7856406,80
269,2014,郑州市惠济区人民法院,34.79026115,113.6540579,90
270,2015,海口市秀英区人民法院,20.01792045,110.2668301,90
271,2009,郑州市二七区人民法院,34.77587957,113.6248564,80
272,2019,芒市人民法院,24.44503386,98.59295169,80
273,2017,绍兴市柯桥区人民法院,30.09171774,120.490303,80
274,2015,防城港市港口区人民法院,21.64957575,108.3892199,80
275,2017,东阳市人民法院,29.29381509,120.2523938,80
276,2014,茶陵县人民法院,26.77967881,113.5348856,75
277,2017,西盟佤族自治县人民法院,22.65304825,99.60117934,80
278,2017,瑞金市人民法院,25.88204983,116.0379908,80
279,2018,澜沧拉祜族自治县人民法院,22.56007888,99.9328659,80
280,2017,诸暨市人民法院,29.72031747,120.2575927,80
281,2018,瑞安市人民法院,27.77422922,120.6684015,75
282,2015,防城港市防城区人民法院,21.77490918,108.3648569,80
283,2013,贺州市八步区人民法院,24.41038901,111.5513949,80
284,2017,长汀县人民法院,25.84846919,116.356229,80
285,2018,澜沧拉祜族自治县人民法院,22.56007888,99.9328659,80
286,2014,中级人民法院,38.09374376,114.4637136,80
287,2014,深圳市宝安区人民法院,22.56243885,113.9173621,90
288,2017,大连经济技术开发区人民法院,38.93746038,121.5758771,80
289,2013,深圳市中级人民法院,22.56483702,114.073204,80
290,2016,景洪市人民法院,22.00949876,100.7730667,80
291,2007,广州市中级人民法院,23.13403896,113.2787667,80
292,2010,柘荣县人民法院,27.239866,119.8980356,80
293,2016,东阳市人民法院,29.29381509,120.2523938,80
294,2015,广州市白云区人民法院,23.20697789,113.2705305,80
295,2013,杭州市余杭区人民法院,30.41217658,120.3076458,80
296,2018,芒市人民法院,24.44503386,98.59295169,80
297,2017,海南省第一中级人民法院,20.03946035,110.3658059,80
298,2018,满洲里市人民法院,49.59758715,117.5006089,80
299,2014,东兴市人民法院,21.56114478,107.9960808,80
300,2019,龙陵县人民法院,24.59961488,98.70100458,80
301,2018,龙陵县人民法院,24.59961488,98.70100458,80
302,2014,从化市人民法院,23.56407658,113.6138776,80
